Name,Draft Year,POS,Group,Predicted Tier,Actual Tier
Johnny O'Bryant,2014,"SF,PF",Wings,1.85,0
DeAndre Daniels,2014,"SF,PF",Wings,0.53,0
Jerami Grant,2014,"PF,SF",Wings,2.12,3
Glenn Robinson III,2014,"SF,SG",Wings,1.2,3
Cory Jefferson,2014,"SF,PF",Wings,1.2,0
Chris Duarte,2021,"SF,SG",Wings,2.66,0
Stanley Johnson,2015,"SF,PF",Wings,3.8,0
Justise Winslow,2015,"SF,SG",Wings,2.67,3
Trey Lyles,2015,"SF,PF",Wings,3.92,3
Kelly Oubre Jr.,2015,SF,Wings,2.98,3
Sam Dekker,2015,"SF,PF",Wings,2.15,0
Justin Anderson,2015,"SF,SG",Wings,2.46,0
Rondae Hollis-Jefferson,2015,"SF,PF",Wings,1.53,3
Jordan Mickey,2015,"SF,PF",Wings,0.94,0
Anthony Brown,2015,SF,Wings,0.91,0
Abdel Nader,2016,SF,Wings,0.96,0
Aaron White,2015,"SF,PF",Wings,1.44,0
Isaac Okoro,2020,"SF,SG",Wings,2.33,3
Branden Dawson,2015,"SF,PF",Wings,0.6,0
J.P. Tokoto,2015,"SF,PF",Wings,2.88,0
Sterling Brown,2017,"SG,SF",Wings,1.26,0
Jaylen Brown,2016,"SF,SG",Wings,2.13,7
Josh Richardson,2015,"SG,SF",Wings,2.81,3
Marquese Chriss,2016,"SF,PF",Wings,2.46,3
Aaron Nesmith,2020,SF,Wings,1.73,3
Taurean Prince,2016,"PF,SF",Wings,0.7,3
Caris LeVert,2016,"SG,SF",Wings,2.12,3
DeAndre' Bembry,2016,"SF,SG",Wings,2.11,0
Brice Johnson,2016,"SF,PF",Wings,2.42,0
Pascal Siakam,2016,"SF,PF",Wings,1.02,7
Arsalan Kazemi,2013,"SF,PF",Wings,1.82,0
Jake Layman,2016,SF,Wings,0.89,0
Georges Niang,2016,"SF,PF",Wings,1.27,3
Ben Bentil,2016,"SF,PF",Wings,1.24,0
Joel Bolomboy,2016,"SF,PF",Wings,0.78,0
Devin Vassell,2020,"SG,SF",Wings,4.31,5
Josh Huestis,2014,"SF,PF",Wings,0.55,0
Jayson Tatum,2017,"SF,PF",Wings,4.23,7
Josh Jackson,2017,"SF,SG",Wings,2.34,0
Anthony Bennett,2013,"SF,PF",Wings,2.34,0
Justin James,2019,SF,Wings,1.63,0
Romero Osby,2013,SF,Wings,1.38,0
Vince Edwards,2018,SF,Wings,1.88,0
Justin Jackson,2017,"SF,PF",Wings,2.58,3
D.J. Wilson,2017,"SF,PF",Wings,1.62,0
John Collins,2017,"SF,PF",Wings,4.06,5
OG Anunoby,2017,"SF,PF",Wings,3.63,5
Tyler Lydon,2017,"SF,PF",Wings,1.41,0
Caleb Swanigan,2017,"SF,PF",Wings,3.38,0
Kyle Kuzma,2017,"PF,SF",Wings,0.89,3
Wes Iwundu,2017,SF,Wings,1.91,0
Patrick Williams,2020,"SF,PF",Wings,1.81,3
Semi Ojeleye,2017,"SF,PF",Wings,0.81,0
Dillon Brooks,2017,"SF,SG",Wings,2.45,5
Saddiq Bey,2020,SF,Wings,2.22,3
Sindarius Thornwell,2017,"SG,SF",Wings,2.27,0
Alec Peters,2017,"SF,PF",Wings,1.36,0
Andrew Wiggins,2014,"SF,PF",Wings,4.01,7
Jaron Blossomgame,2017,SF,Wings,0.95,0
Kevin Knox,2018,"SF,PF",Wings,3.18,0
Mikal Bridges,2018,"SF,SG",Wings,1.73,5
Miles Bridges,2018,"SF,PF",Wings,1.12,5
Michael Porter Jr.,2018,SF,Wings,3.46,5
Troy Brown Jr.,2018,SF,Wings,3.83,0
Zhaire Smith,2018,"SG,SF",Wings,3.16,0
Kevin Huerter,2018,"SG,SF",Wings,4.6,5
Josh Okogie,2018,"SG,SF",Wings,2.79,3
Chandler Hutchison,2018,SF,Wings,1.89,0
Jarred Vanderbilt,2018,"SF,PF",Wings,3.2,3
Justin Jackson,2018,"SF,PF",Wings,2.01,0
Svi Mykhailiuk,2018,SF,Wings,2.9,3
Keita Bates-Diop,2018,"SF,PF",Wings,3.14,0
Jabari Parker,2014,"SF,PF",Wings,4.97,3
Kevin Hervey,2018,"SF,PF",Wings,2.11,0
Franz Wagner,2021,SF,Wings,3.85,7
George King,2018,SF,Wings,0.45,0
Kostas Antetokounmpo,2018,"PF,SF",Wings,0.82,0
Zion Williamson,2019,"SF,PF",Wings,3.97,7
Rui Hachimura,2019,"SF,PF",Wings,1.82,3
RJ Barrett,2019,"SG,SF",Wings,5.47,5
De'Andre Hunter,2019,SF,Wings,1.93,5
Cam Reddish,2019,SF,Wings,3.76,3
Cameron Johnson,2019,"SF,PF",Wings,2.31,3
P.J. Washington,2019,"SF,PF",Wings,0.75,5
Chuma Okeke,2019,"PF,SF",Wings,2.27,0
Brandon Clarke,2019,"SF,PF",Wings,2.43,0
Grant Williams,2019,"SF,PF",Wings,2.4,3
Nassir Little,2019,"SF,PF",Wings,3.09,0
Dylan Windler,2019,SF,Wings,2.01,0
Keldon Johnson,2019,SF,Wings,1.78,3
KZ Okpala,2019,"SF,PF",Wings,1.71,0
Cody Martin,2019,SF,Wings,1.73,3
Eric Paschall,2019,"SF,PF",Wings,0.3,0
Admiral Schofield,2019,"PF,SF",Wings,0.69,0
Isaiah Roby,2019,"SF,PF",Wings,0.69,0
Ignas Brazdeikis,2019,SF,Wings,1.63,0
Terance Mann,2019,"SG,SF",Wings,1.23,3
Jarrell Brantley,2019,"SF,PF",Wings,0.62,0
Jalen McDaniels,2019,SF,Wings,1.35,0
Miye Oni,2019,"SG,SF",Wings,1.25,0
Obi Toppin,2020,"SF,PF",Wings,1.92,3
Brandon Ingram,2016,"SF,PF",Wings,3.9,7
Jaden McDaniels,2020,"PF,SF",Wings,2.62,5
Tyler Bey,2020,SF,Wings,1.29,0
Elijah Hughes,2020,"SG,SF",Wings,1.95,0
Robert Woodard II,2020,SF,Wings,1.09,0
Jordan Nwora,2020,SF,Wings,0.71,0
CJ Elleby,2020,SF,Wings,2.7,0
Jonathan Isaac,2017,"SF,PF",Wings,3.87,3
Scottie Barnes,2021,"SF,PF",Wings,4.51,7
Ziaire Williams,2021,SF,Wings,4.01,3
Corey Kispert,2021,SF,Wings,2.41,3
Trey Murphy III,2021,SF,Wings,2.35,5
Jalen Johnson,2021,"SF,PF",Wings,5.42,7
Herbert Jones,2021,"SF,PF",Wings,1.82,5
Isaiah Livers,2021,"PF,SF",Wings,1.78,0
Greg Brown III,2021,"PF,SF",Wings,3.25,0
Kessler Edwards,2021,SF,Wings,1.0,0
Brandon Boston Jr.,2021,"SG,SF",Wings,3.48,3
RaiQuan Gray,2021,"SF,PF",Wings,0.78,0
Tristan Thompson,2011,"C,PF",Bigs,1.85,5
Markieff Morris,2011,"PF,C",Bigs,1.69,5
Marcus Morris,2011,"PF,C",Bigs,1.81,5
Nikola VuÄeviÄ,2011,C,Bigs,1.51,7
Kenneth Faried,2011,"PF,C",Bigs,2.12,5
JaJuan Johnson,2011,"PF,C",Bigs,0.85,0
Justin Harper,2011,"PF,C",Bigs,2.6,0
Jordan Williams,2011,C,Bigs,1.48,0
Trey Thompkins,2011,C,Bigs,0.61,0
Jon Leuer,2011,"PF,C",Bigs,1.11,0
Keith Benson,2011,C,Bigs,0.36,0
Anthony Davis,2012,"C,PF",Bigs,4.26,7
Thomas Robinson,2012,"PF,C",Bigs,2.5,0
Andre Drummond,2012,C,Bigs,2.8,7
Meyers Leonard,2012,"C,PF",Bigs,1.91,3
John Henson,2012,"C,PF",Bigs,1.73,3
Tyler Zeller,2012,C,Bigs,1.57,3
Andrew Nicholson,2012,"PF,C",Bigs,1.26,0
Fab Melo,2012,C,Bigs,1.06,0
Miles Plumlee,2012,C,Bigs,1.15,3
Arnett Moultrie,2012,"PF,C",Bigs,0.48,0
Perry Jones,2012,"PF,C",Bigs,0.68,0
Festus Ezeli,2012,C,Bigs,0.89,0
Bernard James,2012,C,Bigs,0.61,0
Kyle O'Quinn,2012,"C,PF",Bigs,0.63,0
Cody Zeller,2013,C,Bigs,3.31,3
Alex Len,2013,C,Bigs,1.79,3
Nerlens Noel,2013,"C,PF",Bigs,3.22,3
Steven Adams,2013,C,Bigs,2.32,5
Kelly Olynyk,2013,"C,PF",Bigs,2.0,3
Gorgui Dieng,2013,"C,PF",Bigs,1.03,3
Mason Plumlee,2013,C,Bigs,1.94,3
Jeff Withey,2013,C,Bigs,1.83,0
Grant Jerrett,2013,"PF,C",Bigs,1.91,0
Mike Muscala,2013,"C,PF",Bigs,1.3,3
Ryan Kelly,2013,"PF,C",Bigs,1.19,0
Erik Murphy,2013,C,Bigs,2.09,0
Colton Iverson,2013,C,Bigs,1.01,0
Noah Vonleh,2014,"PF,C",Bigs,2.6,3
Adreian Payne,2014,"PF,C",Bigs,1.12,0
Jarnell Stokes,2014,"C,PF",Bigs,3.35,0
Dwight Powell,2014,"C,PF",Bigs,0.42,3
Cameron Bairstow,2014,"C,PF",Bigs,0.43,0
Alec Brown,2014,"PF,C",Bigs,1.11,0
Willie Cauley-Stein,2015,C,Bigs,1.11,3
Frank Kaminsky,2015,"C,PF",Bigs,2.56,3
Myles Turner,2015,C,Bigs,2.68,5
Bobby Portis,2015,"PF,C",Bigs,1.8,3
Jarell Martin,2015,"PF,C",Bigs,0.79,0
Larry Nance Jr.,2015,"PF,C",Bigs,0.89,3
Chris McCullough,2015,"PF,C",Bigs,1.4,0
Kevon Looney,2015,"C,PF",Bigs,1.37,3
Montrezl Harrell,2015,"C,PF",Bigs,1.6,5
Rakeem Christmas,2015,"PF,C",Bigs,0.97,0
Richaun Holmes,2015,"C,PF",Bigs,1.26,3
Dakari Johnson,2015,C,Bigs,2.7,0
Jakob Poeltl,2016,C,Bigs,2.97,5
Henry Ellenson,2016,"PF,C",Bigs,1.98,0
Skal LabissiÃ¨re,2016,"PF,C",Bigs,1.32,0
Damian Jones,2016,C,Bigs,0.69,0
Deyonta Davis,2016,C,Bigs,1.88,0
Cheick Diallo,2016,"C,PF",Bigs,1.92,0
Chinanu Onuaku,2016,C,Bigs,2.78,0
Diamond Stone,2016,C,Bigs,2.36,0
Stephen Zimmerman,2016,C,Bigs,1.69,0
